epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,176.731,1.02996,0.49851,0.85149,0.19395,0.3551,0.21126,0.0809,2.2233,2.83463,1.07769,0.000612687,0.000612687,0.000612687
105,178.34,1.06408,0.5155,0.86438,0.19175,0.35302,0.22498,0.08297,2.24297,2.77266,1.07581,0.0006065,0.0006065,0.0006065
106,179.918,1.04829,0.50589,0.85131,0.20874,0.39169,0.22291,0.08206,2.22589,2.75853,1.07083,0.000600313,0.000600313,0.000600313
107,181.511,1.04809,0.50286,0.85446,0.21532,0.439,0.23076,0.08243,2.19201,2.81382,1.07438,0.000594125,0.000594125,0.000594125
108,183.152,1.07405,0.5121,0.85167,0.17625,0.75936,0.22801,0.08655,2.19475,2.81845,1.06733,0.000587938,0.000587938,0.000587938
109,184.761,1.01145,0.48441,0.86291,0.18272,0.77108,0.22995,0.08784,2.17522,2.86382,1.06006,0.00058175,0.00058175,0.00058175
110,186.338,1.04507,0.50162,0.86818,0.17449,0.75763,0.22137,0.08493,2.16193,3.01282,1.06264,0.000575563,0.000575563,0.000575563
111,187.932,0.98916,0.47955,0.85769,0.17089,0.77817,0.20159,0.07492,2.22528,3.06438,1.07873,0.000569375,0.000569375,0.000569375
112,189.53,1.03571,0.48697,0.86794,0.16914,0.75951,0.19121,0.07418,2.17322,3.14171,1.05854,0.000563187,0.000563187,0.000563187
113,191.154,1.02005,0.49842,0.85477,0.16465,0.78236,0.19122,0.07422,2.14617,3.22035,1.05938,0.000557,0.000557,0.000557
114,192.716,0.98635,0.47847,0.84015,0.17318,0.74271,0.18957,0.07476,2.20799,3.24917,1.06479,0.000550813,0.000550813,0.000550813
115,194.357,0.98725,0.48229,0.87132,0.18113,0.71291,0.18928,0.07455,2.1862,3.2886,1.05265,0.000544625,0.000544625,0.000544625
116,195.966,0.91797,0.46075,0.83694,0.18054,0.7203,0.197,0.082,2.13107,3.37939,1.04972,0.000538438,0.000538438,0.000538438
117,197.559,1.04008,0.48758,0.8474,0.18546,0.75069,0.20363,0.08172,2.12448,3.39083,1.04705,0.00053225,0.00053225,0.00053225
118,199.152,0.97971,0.47716,0.8521,0.17574,0.7106,0.18421,0.07129,2.24987,3.43402,1.06549,0.000526063,0.000526063,0.000526063
